ID,artist,title,picture data,file info,jpg url
31376,PIERO DELLA FRANCESCA,portrait of battista sforza,"1473-75, oil on wood, 47 x 33 cm, galleria degli uffizi, florence","850*1204, true color, 152 kb",https://www.wga.hu/art/p/piero/4/montefe7.jpg
31377,PIERO DELLA FRANCESCA,triumph of battista sforza,"1473-75, oil on wood, 47 x 33 cm, galleria degli uffizi, florence","1055*1500, true color, 290 kb",https://www.wga.hu/art/p/piero/4/montefe8.jpg
31378,PIERO DELLA FRANCESCA,ideal city,"c. 1470, panel, 60 x 200 cm, galleria nazionale delle marche, urbino","2000*542, true color, 169 kb",https://www.wga.hu/art/p/piero/5/idealcit.jpg
31379,PIERO DELLA FRANCESCA,st ludovico,"c. 1460, fresco, 123 x 90 cm, pinacoteca comunale, sansepolcro","800*1122, true color, 169 kb",https://www.wga.hu/art/p/piero/5/ludovico.jpg
31380,PIERO DELLA FRANCESCA,virgin and child,"-, panel, 62 x 53 cm, collezione vittorio cini, venice","1046*1194, true color, 180 kb",https://www.wga.hu/art/p/piero/5/villamar.jpg
31381,PIERO DELLA FRANCESCA,portraits of federico da montefeltro and his wife battista sforza,"1473-75, oil on wood, 47 x 33 cm (each), galleria degli uffizi, florence","1235*850, true color, 141 kb",https://www.wga.hu/art/p/piero/4/montefe2.jpg
31382,PIERO DELLA FRANCESCA,madonna and child with saints (montefeltro altarpiece),"1472-74, oil and tempera on panel, 248 x 170 cm, pinacoteca di brera, milan","900*1308, true color, 237 kb",https://www.wga.hu/art/p/piero/3/12monte1.jpg
31383,PIERO DELLA FRANCESCA,madonna of senigallia,"c. 1470, panel, 61 x 53 cm, galleria nazionale delle marche, urbino","1039*1200, true color, 178 kb",https://www.wga.hu/art/p/piero/3/11seniga.jpg
31384,PIERO DELLA FRANCESCA,madonna del parto,"1467, detached fresco, 260 x 203 cm, chapel of the cemetery, monterchi (arezzo)","1000*1260, true color, 163 kb",https://www.wga.hu/art/p/piero/3/10parto.jpg
31385,PIERO DELLA FRANCESCA,scene after and before restoration,"-, fresco, san francesco, arezzo","1057*1000, true color, 194 kb",https://www.wga.hu/art/p/piero/2/93/93restau3.jpg
31386,PIERO DELLA FRANCESCA,a detail after and before restoration,"-, fresco, san francesco, arezzo","1313*850, true color, 196 kb",https://www.wga.hu/art/p/piero/2/93/93restau4.jpg
